source,target
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",1
"public ModuleExports[] getExportsTable() {
return exports_table;
}",0
"@Deprecated
public static final short[] shortArrayVar1 = shortArrayLiteral2;",0
"@Override
public boolean equals(final Instruction i1, final Instruction i2) {
if (i1.getOpcode() == i2.getOpcode()) {
if (i1 instanceof BranchInstruction) {
return false;
} else if (i1 instanceof ConstantPushInstruction) {
return ((ConstantPushInstruction) i1).getValue().equals(((ConstantPushInstruction) i2).getValue());
} else if (i1 instanceof IndexedInstruction) {
return ((IndexedInstruction) i1).getIndex() == ((IndexedInstruction) i2).getIndex();
} else if (i1 instanceof NEWARRAY) {
return ((NEWARRAY) i1).getTypecode() == ((NEWARRAY) i2).getTypecode();
} else {
return true;
}
}
return false;
}",0
"public ModuleProvides[] getProvidesTable() {
return provides_table;
}",0
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",0
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",0
public static final String[] stringArrayVar1 = stringArrayLiteral2;,1
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",0
"@Override
public boolean equals(final Instruction i1, final Instruction i2) {
if (i1.getOpcode() == i2.getOpcode()) {
if (i1 instanceof BranchInstruction) {
return false;
} else if (i1 instanceof ConstantPushInstruction) {
return ((ConstantPushInstruction) i1).getValue().equals(((ConstantPushInstruction) i2).getValue());
} else if (i1 instanceof IndexedInstruction) {
return ((IndexedInstruction) i1).getIndex() == ((IndexedInstruction) i2).getIndex();
} else if (i1 instanceof NEWARRAY) {
return ((NEWARRAY) i1).getTypecode() == ((NEWARRAY) i2).getTypecode();
} else {
return true;
}
}
return false;
}",0
"public StackMapType[] getTypesOfLocals() {
return types_of_locals;
}",0
"@Override
public Object clone() {
OperandStack operandstackVar1 = operandstackLiteral2;
@SuppressWarnings(""unchecked"")
final ArrayList<Type> arraylist<type>Var3 = arraylist<type>Literal4;
operandstackVar1.stack = arraylist<type>Var3;
return operandstackVar1;
}",1
"public BootstrapMethod(int bootstrap_method_ref, int num_bootstrap_arguments, int[] bootstrap_arguments) {
this.bootstrap_method_ref = bootstrap_method_ref;
this.bootstrap_arguments = new int[num_bootstrap_arguments];
this.bootstrap_arguments = bootstrap_arguments;
}",1
"public Constant[] getConstantPool() {
return constant_pool;
}",0
"@Deprecated
public static final int[] intArrayVar1 = intArrayLiteral2;",1
"public void setConstantPool(final Constant[] constant_pool) {
this.constant_pool = constant_pool;
}",0
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",1
"public int[] getExceptionIndexTable() {
return exception_index_table;
}",0
"public CodeException[] getExceptionTable() {
return exception_table;
}",0
"public final LocalVariable[] getLocalVariableTable() {
return local_variable_table;
}",0
"public void setInterfaceNames(final String[] interface_names) {
this.interface_names = interface_names;
}",0
"public AnnotationEntry[] getAnnotationEntries() {
return annotation_table;
}",0
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",1
